car_model_id,car_type_id,color_id,poster_id,condition_id,km,door_num,seat_num,car_year,price_num,price_words,area
7,1,5,38,1,0,5,7,2011,1000000000,1 Tỷ 120 Triệu,Hà Nội
7,1,3,122,1,66000,5,7,2011,1000000000,1 Tỷ 180 Triệu,Cần Thơ
7,1,6,60,1,81000,5,7,2014,1000000000,1 Tỷ 380 Triệu,Hà Nội
7,1,1,52,1,50000,5,7,2016,2000000000,2 Tỷ 300 Triệu,Hà Nội
7,1,1,3373,1,128000,5,7,2007,850000000,850 Triệu,Lâm Đồng
7,1,1,15635,1,60000,5,7,2016,2000000000,2 Tỷ 290 Triệu,Hà Nội
7,1,5,124,1,66000,5,7,2010,739000000,739 Triệu,TP HCM
7,1,3,124,1,30000,5,7,2012,1000000000,1 Tỷ 379 Triệu,TP HCM
7,1,3,125,1,45000,5,7,2016,2000000000,2 Tỷ 580 Triệu,Hà Nội
7,1,1,10814,1,74000,5,7,2010,980000000,980 Triệu,Hà Nội
7,1,1,127,1,120000,5,7,2007,550000000,550 Triệu,Hà Nội
7,1,1,9744,1,35000,5,7,2016,2000000000,2 Tỷ 299 Triệu,Hà Nội
7,1,2,128,1,0,5,7,2007,600000000,600 Triệu,TP HCM
7,1,11,15424,1,0,5,7,2008,599000000,599 Triệu,Hà Nội
7,1,3,130,1,15000,5,7,2017,2000000000,2 Tỷ 650 Triệu,TP HCM
7,1,9,131,1,19000,5,7,2016,2000000000,2 Tỷ 360 Triệu,TP HCM
7,1,1,11015,1,0,5,7,2010,848000000,848 Triệu,Bình Dương
7,1,5,133,1,0,5,7,2014,1000000000,1 Tỷ 620 Triệu,TP HCM
7,1,1,112,1,26000,5,7,2018,2000000000,2 Tỷ 860 Triệu,Hà Nội
7,1,11,53,1,50000,5,7,2016,2000000000,2 Tỷ 650 Triệu,Hà Nội
7,1,3,134,1,135000,5,7,2008,630000000,630 Triệu,Đồng Nai
7,1,3,8679,1,26000,5,7,2016,2000000000,2 Tỷ 640 Triệu,Hà Nội
7,1,3,135,1,26000,5,7,2017,2000000000,2 Tỷ 600 Triệu,TP HCM
7,1,1,133,1,65000,5,7,2015,1000000000,1 Tỷ 520 Triệu,TP HCM
7,1,1,15635,1,100000,5,7,2006,600000000,600 Triệu,TP HCM
7,1,11,137,1,80000,5,7,2008,650000000,650 Triệu,Hà Nội
7,1,3,138,1,56000,5,7,2007,690000000,690 Triệu,TP HCM
7,1,9,4,1,0,5,7,2007,720000000,720 Triệu,TP HCM
8,4,1,139,1,66666,2,4,2010,1000000000,1 Tỷ 150 Triệu,Hà Nội
8,5,3,17,1,0,2,4,2009,850000000,850 Triệu,TP HCM
8,3,4,15438,1,68000,4,5,2015,990000000,990 Triệu,TP HCM
8,3,1,141,1,0,4,5,2013,970000000,970 Triệu,TP HCM
8,3,1,142,1,50000,4,5,2015,1000000000,1 Tỷ 220 Triệu,Hà Nội
8,3,10,143,1,0,4,5,2013,1000000000,1 Tỷ 50 Triệu,Hà Nội
8,5,10,144,1,89000,2,4,2011,799000000,799 Triệu,Hà Nội
8,3,3,139,1,65744,4,5,2012,880000000,880 Triệu,Hà Nội
8,3,4,145,1,88888,4,5,2013,866000000,866 Triệu,Hà Nội
8,3,1,3389,1,60000,4,5,2013,886000000,886 Triệu,TP HCM
8,3,5,15250,1,38000,4,5,2012,850000000,850 Triệu,TP HCM
8,4,3,7737,1,68888,2,4,2010,1000000000,1 Tỷ 150 Triệu,Hà Nội
8,4,3,110,1,7,2,4,2011,1000000000,1 Tỷ 150 Triệu,Hà Nội
8,3,10,110,1,69,4,5,2014,1000000000,1 Tỷ 90 Triệu,Hà Nội
8,4,3,12453,1,68800,2,4,2011,1000000000,1 Tỷ 150 Triệu,Hà Nội
8,3,1,53,1,30000,4,5,2017,1000000000,1 Tỷ 830 Triệu,Hà Nội
8,5,4,150,1,69000,2,4,2008,835000000,835 Triệu,TP HCM
8,3,3,151,1,0,4,5,2012,925000000,925 Triệu,Hà Nội
8,3,3,12453,1,86000,4,5,2012,845000000,845 Triệu,Hà Nội
8,3,3,14747,1,86000,4,5,2012,950000000,950 Triệu,Hà Nội
8,3,1,6169,1,3000,4,5,2017,1000000000,1 Tỷ 890 Triệu,Hà Nội
9,3,1,154,1,100000,4,5,2008,700000000,700 Triệu,Thái Nguyên
9,3,1,155,1,13099,4,5,2016,2000000000,2 Tỷ 990 Triệu,Hà Nội
9,3,1,35,1,13000,4,5,2016,2000000000,2 Tỷ 950 Triệu,Hà Nội
9,3,3,18,1,0,4,5,2010,1000000000,1 Tỷ 620 Triệu,TP HCM
9,3,3,14279,1,50000,4,5,2014,2000000000,2 Tỷ 530 Triệu,Hà Nội
9,3,6,35,1,40000,4,5,2010,1000000000,1 Tỷ 390 Triệu,Hà Nội
9,3,1,74,1,60000,4,5,2014,2000000000,2 Tỷ 450 Triệu,Hà Nội
9,3,3,16182,1,0,4,5,2011,1000000000,1 Tỷ 350 Triệu,TP HCM
9,3,2,16182,1,0,4,5,2013,1000000000,1 Tỷ 450 Triệu,TP HCM
9,3,3,131,1,57998,4,5,2011,1000000000,1 Tỷ 770 Triệu,TP HCM
9,3,3,158,1,68000,4,5,2012,1000000000,1 Tỷ 699 Triệu,Bắc Giang
9,3,1,159,1,66642,4,5,2011,1000000000,1 Tỷ 599 Triệu,TP HCM
10,3,11,160,1,0,4,4,1990,74000000,74 Triệu,Phú Thọ
11,6,10,161,1,0,2,4,2010,455000000,455 Triệu,Hà Nội
11,6,10,162,1,0,3,4,2011,455000000,455 Triệu,Hà Nội
11,6,10,163,1,0,4,4,2010,478000000,478 Triệu,Thừa Thiên Huế
12,3,1,15207,1,82000,4,5,2013,688000000,688 Triệu,Hà Nội
12,6,3,164,1,45000,4,5,2011,720000000,720 Triệu,Hà Nội
12,6,3,165,1,40000,5,5,2013,699000000,699 Triệu,Hà Nội
12,3,3,11834,1,61000,4,5,2013,680000000,680 Triệu,Hà Nội
12,3,1,117,1,30000,4,5,2014,680000000,680 Triệu,Hà Nội
12,3,3,5863,1,61000,4,5,2014,750000000,750 Triệu,TP HCM
13,3,3,12672,1,46000,4,5,2012,1000000000,1 Tỷ 450 Triệu,Hà Nội
13,3,6,16182,1,0,4,5,2012,1000000000,1 Tỷ 50 Triệu,TP HCM
13,3,1,14560,1,90000,4,5,2014,1000000000,1 Tỷ 645 Triệu,Hà Nội
13,3,3,170,1,38000,4,5,2015,2000000000,2 Tỷ 200 Triệu,Hà Nội
14,2,7,171,1,50000,5,5,2015,960000000,960 Triệu,Hà Nội
